"id_equipo","codigo_origen","nombre","marca","modelo","serie","categoria","estado","ubicacion","detalles"
"1","1","Agitador de bolsas de sangre","DELCON","HEMOMIX 3","1316423","LABORATORIO","Operativo","",""
"2","2","Agitador de bolsas de sangre","DELCON","HEMOMIX 3","1315923","LABORATORIO","Operativo","",""
"3","3","Agitador de bolsas de sangre","DELCON","HEMOMIX 3","1316523","LABORATORIO","Operativo","",""
"4","4","Agitador de bolsas de sangre","DELCON","HEMOMIX 3","1315323","LABORATORIO","Operativo","",""
"5","5","Agitador de plaquetas","PITEC","PT-48","1875916","LABORATORIO","Operativo","",""
"6","6","Agitador de plaquetas","PITEC","PT-48","6927","LABORATORIO","Operativo","",""
"7","7","Agitador hematológico","","","S/N","LABORATORIO","Operativo","",""
"8","8","Agitador horizontal de tubos","DLAB","SK-O180-S","SN22BAT0001197","LABORATORIO","Operativo","",""
"9","9","Agitador magnético","","","S/N","LABORATORIO","Operativo","",""
"10","10","Agitador magnético tipo vortex","","","S/N","LABORATORIO","Operativo","",""
"11","11","AGITADOR MAGNÉTICO TIPO VORTEX","DLAB","MX-S","VB22BA50007186","LABORATORIO","Operativo","",""
"12","12","AGITADOR MAGNÉTICO TIPO VORTEX","DLAB","MX-S","VB22BA50007757","LABORATORIO","Operativo","",""
"13","13","AGITADOR MAGNÉTICO TIPO VORTEX","DLAB","MX-S","VB22BA50007496","LABORATORIO","Operativo","",""
"14","14","Almacenador de láminas","","","S/N","LABORATORIO","Operativo","",""
"15","15","Almacenador de tacos","","","S/N","LABORATORIO","Operativo","",""
"16","16","Amnioscopio","","","S/N","LABORATORIO","Operativo","",""
"17","17","Amnioscopio","","","S/N","LABORATORIO","Operativo","",""
"18","18","Amnioscopio","","","S/N","LABORATORIO","Operativo","",""
"19","19","Amnioscopio","","","S/N","LABORATORIO","Operativo","",""
"20","20","Angiógrafo retinal","HEIDELBERG ENGINEERING","SPECTRALIS HRA","SPEC-CAM-16414-S1610","LABORATORIO","Operativo","",""
"21","21","Arco Balcánico","","","S/N","GENERAL","Operativo","",""
"22","22","Armario de endoscopios","INOXSERVI","GABEND","S/N","GENERAL","Operativo","",""
"23","23","Armario de endoscopios","INOXSERVI","GABEND","S/N","GENERAL","Operativo","",""
"24","24","Armario de seguridad para productos inflamables (1 cuerpo)","LABOR SECURITY","AC 600","97/ sist. Ventilacion 18106","GENERAL","Operativo","",""
"25","25","Armario de seguridad para productos inflamables (1 cuerpo)","LABOR SECURITY","AC 600","98 / sist. Ventilacion 18090","GENERAL","Operativo","",""
"26","26","Arnés suspensión axial","","","S/N","GENERAL","Operativo","",""
"27","27","Articulador Ajustable con arco Facial","BIOART","A7 PLUS CON ARCO ELITE","305480","GENERAL","Operativo","",""
"28","28","Asistente mecánico de tos","","","S/N","GENERAL","Operativo","",""
"29","29","Aspirador de Oídos","CA-MI","ASKIR 36 BR","21829","GENERAL","Operativo","",""
"30","30","Audiómetro","","","S/N","GENERAL","Operativo","",""
"31","31","Audiómetro","","","S/N","GENERAL","Operativo","",""
"32","32","Autoclave (2 STU)","Prohs","FJ-175L","1675","ESTERILIZACION","Operativo","",""
"33","33","Autoclave (8 STU)","Prohs","FJ-640L","1326 Y 1358","ESTERILIZACION","Operativo","",""
"34","34","Autoclave Terminal (1 STU)","Matachana","S 101 E-1","E-34040","ESTERILIZACION","Operativo","",""
"35","35","Autoclave Vertical (200 lts app)","","","S/N","ESTERILIZACION","Operativo","",""
"36","36","Autoclave Vertical (200 lts app)","Tuttnauer","5075-ELVP-D-LINE","20110889","ESTERILIZACION","Operativo","",""
"37","37","Autorefractómetro con queratómetro","TOPCON","KR-800","4782765","GENERAL","Operativo","",""
"38","38","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00439","MEDICIONES","Operativo","",""
"39","39","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00372","MEDICIONES","Operativo","",""
"40","40","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00444","MEDICIONES","Operativo","",""
"41","41","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00360","MEDICIONES","Operativo","",""
"42","42","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00450","MEDICIONES","Operativo","",""
"43","43","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00363","MEDICIONES","Operativo","",""
"44","44","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00443","MEDICIONES","Operativo","",""
"45","45","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00438","MEDICIONES","Operativo","",""
"46","46","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00432","MEDICIONES","Operativo","",""
"47","47","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00375","MEDICIONES","Operativo","",""
"48","48","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00424","MEDICIONES","Operativo","",""
"49","49","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00362","MEDICIONES","Operativo","",""
"50","50","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00358","MEDICIONES","Operativo","",""
"51","51","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00445","MEDICIONES","Operativo","",""
"52","52","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00460","MEDICIONES","Operativo","",""
"53","53","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00457","MEDICIONES","Operativo","",""
"54","54","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00380","MEDICIONES","Operativo","",""
"55","55","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00440","MEDICIONES","Operativo","",""
"56","56","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00451","MEDICIONES","Operativo","",""
"57","57","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00458","MEDICIONES","Operativo","",""
"58","58","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00376","MEDICIONES","Operativo","",""
"59","59","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00442","MEDICIONES","Operativo","",""
"60","60","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00361","MEDICIONES","Operativo","",""
"61","61","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00379","MEDICIONES","Operativo","",""
"62","62","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00359","MEDICIONES","Operativo","",""
"63","63","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00459","MEDICIONES","Operativo","",""
"64","64","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00365","MEDICIONES","Operativo","",""
"65","65","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00437","MEDICIONES","Operativo","",""
"66","66","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00433","MEDICIONES","Operativo","",""
"67","67","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00463","MEDICIONES","Operativo","",""
"68","68","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00456","MEDICIONES","Operativo","",""
"69","69","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00422","MEDICIONES","Operativo","",""
"70","70","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00423","MEDICIONES","Operativo","",""
"71","71","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00454","MEDICIONES","Operativo","",""
"72","72","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00381","MEDICIONES","Operativo","",""
"73","73","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00453","MEDICIONES","Operativo","",""
"74","74","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00447","MEDICIONES","Operativo","",""
"75","75","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00464","MEDICIONES","Operativo","",""
"76","76","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00441","MEDICIONES","Operativo","",""
"77","77","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00436","MEDICIONES","Operativo","",""
"78","78","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00435","MEDICIONES","Operativo","",""
"79","79","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00364","MEDICIONES","Operativo","",""
"80","80","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00455","MEDICIONES","Operativo","",""
"81","81","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00449","MEDICIONES","Operativo","",""
"82","82","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00420","MEDICIONES","Operativo","",""
"83","83","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00446","MEDICIONES","Operativo","",""
"84","84","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00378","MEDICIONES","Operativo","",""
"85","85","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00452","MEDICIONES","Operativo","",""
"86","86","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00373","MEDICIONES","Operativo","",""
"87","87","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00431","MEDICIONES","Operativo","",""
"88","88","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00374","MEDICIONES","Operativo","",""
"89","89","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00448","MEDICIONES","Operativo","",""
"90","90","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00377","MEDICIONES","Operativo","",""
"91","91","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00434","MEDICIONES","Operativo","",""
"92","92","Balanza adulto con tallímetro","ADE","M320600-01","52854-1032726-00462","MEDICIONES","Operativo","",""
"93","93","Balanza Analítica","RADWAG","AS220,R2","737698","MEDICIONES","Operativo","",""
"94","94","Balanza Analítica","RADWAG","AS220,R2","740721","MEDICIONES","Operativo","",""
"95","95","Balanza Analítica","RADWAG","AS220.R2","737710","MEDICIONES","Operativo","",""
"96","96","Balanza Analítica","RADWAG","AS220.R2","737711","MEDICIONES","Operativo","",""
"97","97","Balanza de Pañales","SECA","SECA 856","8856293200195","MEDICIONES","Operativo","",""
"98","98","Balanza de Pañales","SECA","SECA 856","8856293200176","MEDICIONES","Operativo","",""
"99","99","Balanza de Pañales","SECA","SECA 856","885629000000000000","MEDICIONES","Operativo","",""
"100","100","Balanza de Pañales","SECA","SECA 856","885635000000000000","MEDICIONES","Operativo","",""
"101","101","Balanza de Pañales","SECA","SECA 856","8856293200239","MEDICIONES","Operativo","",""
"102","102","Balanza de Pañales","SECA","SECA 856","8856346200058","MEDICIONES","Operativo","",""
"103","103","Balanza de Pañales","SECA","SECA 856","8856309200100","MEDICIONES","Operativo","",""
"104","104","Balanza de Pañales","SECA","SECA 856","8856309200018","MEDICIONES","Operativo","",""
"105","105","Balanza de Pañales","SECA","SECA 856","8856293200175","MEDICIONES","Operativo","",""
"106","106","Balanza de Pañales","SECA","SECA 856","8856309200103","MEDICIONES","Operativo","",""
"107","107","Balanza de Pañales","SECA","SECA 856","8856293200154","MEDICIONES","Operativo","",""
"108","108","Balanza de Pañales","SECA","SECA 856","8856346200057","MEDICIONES","Operativo","",""
"109","109","Balanza de Pañales","SECA","SECA 856","8856293200168","MEDICIONES","Operativo","",""
"110","110","Balanza de Pañales","SECA","SECA 856","8856346200059","MEDICIONES","Operativo","",""
"111","111","Balanza de presición 2KG","","","S/N","MEDICIONES","Operativo","",""
"112","112","Balanza de presición 5KG","","","S/N","MEDICIONES","Operativo","",""
"113","113","Balanza Digital (Anatomía Patológica)","HYGECO","35656B","52646-0006187","MEDICIONES","Operativo","",""
"114","114","Balanza Digital (Farmacia) I","KERN & SHON","EWJ 600-2M","S/N","MEDICIONES","Operativo","",""
"115","115","Balanza Digital (Farmacia) I","KERN & SHON","EWJ 600-2M","S/N","MEDICIONES","Operativo","",""
"116","116","Balanza Digital (Farmacia) II","KERN & SHON","ADJ 200-4","S/N","MEDICIONES","Operativo","",""
"117","117","Balanza Digital (Pabellón)","HYGECO","356568","52646-0005908","MEDICIONES","Operativo","",""
"118","118","Balanza infantil con tallímetro","SECA","334-232-400","10000000800728","MEDICIONES","Operativo","",""
"119","119","Balanza infantil con tallímetro","SECA","334-232-400","10000000800733","MEDICIONES","Operativo","",""
"120","120","Balanza infantil con tallímetro","SECA","334-232-400","10000000800730","MEDICIONES","Operativo","",""
"121","121","Balanza infantil con tallímetro","SECA","334-232-400","10000000800731","MEDICIONES","Operativo","",""
"122","122","Balanza lactante","SECA","354","835429000000000000","MEDICIONES","Operativo","",""
"123","123","Balanza lactante","SECA","354","835429000000000000","MEDICIONES","Operativo","",""
