"id_caja","nombre_caja","cantidad","seccion_id","estanteria_id","barcode","finicio","ftermino","estado"
"box_1771261024087","PILAS TIPO C EVERREADY 1.5V","101","shelf_1770146684513_sec_1","shelf_1770146684513","7501037600926","2023-01-23 00:00:00","2027-01-14 00:00:00","OK"
"box_1771261085718","ACCESORIOS MONITORES CARDIOFETALES   SENSORES MONITORES DE APNEA","1","shelf_1770146684513_sec_1","shelf_1770146684513","2430201025900","2024-12-31 00:00:00","2027-01-20 00:00:00","STOCK_BAJO"
"box_1771261129038","BATERIAS ELECTRO G MAC 600","1","shelf_1770146684513_sec_1","shelf_1770146684513","2410300017402","2025-01-01 00:00:00","2027-01-01 00:00:00","STOCK_BAJO"
"box_1771881672958","BATERIAS ELECTRO GE MAC 600","1","shelf_1770146684513_sec_1","shelf_1770146684513","2410300016402","","","STOCK_BAJO"
"box_1774536660830","Sensores monitores de apnea ","5","shelf_1770146684513_sec_1","shelf_1770146684513","","","","STOCK_BAJO"
"box_1787228415635","BATERIA CARDIO FETAL F6","2","shelf_1770146684513_sec_1","shelf_1770146684513","","","","STOCK_BAJO"
"box_1787228482519","TRANSDUCTOR ULTRASONICO MONITOR CARDIO FETAL","1","shelf_1770146684513_sec_1","shelf_1770146684513","0201109301019","","","STOCK_BAJO"
"box_1787228524518","TRANSDUCTOR TOCO MONITOR CARDIO FETAL ","2","shelf_1770146684513_sec_1","shelf_1770146684513","0201315270190","","","STOCK_BAJO"
"box_1787228673099","CELDAS DE OXIGENO INCUBADORA UTI","4","shelf_1770146684513_sec_1","shelf_1770146684513","1494296260859","","","STOCK_BAJO"
"box_1787257353554","VISAGRAS MALVESTIO","4","shelf_1770146684513_sec_1","shelf_1770146684513","","","","STOCK_BAJO"
"box_1787340637458","SENSOR MONITOR RESPIRATORIO SIS DE APNEA","10","shelf_1770146684513_sec_1","shelf_1770146684513","5691700000000","","","STOCK_BAJO"
"box_1789126728090","BATERIAS 9V","2","shelf_1770146684513_sec_1","shelf_1770146684513","0413330010430","","","STOCK_BAJO"
