"id_registro","fecha","usuario","nombre_equipo","marca","modelo","serie","unidad","respuestas","obs","idpdf"
"1","2025-12-30 09:29:58","Luis","Cánula de alto flujo","Fisher paykel","Airvo2","200608137255","ATENCION-OBSTETRICA","OK | OK | OK | OK | NA | NA | NA | OK | OK | NA | OK | OK | OK | OK | NA | OK | NA | NA | NA | NA","",""
"2","2025-12-30 13:24:16","Luis","Lavadora de chatas","Tuttnauer","REVO PRO","l22273313","PABELLONES-QUIRURGICOS","OK | NA | OK | OK | OK | NA | OK | OK | OK | OK | NA | NA | OK | NO | OK | NA | NA | NA | NA | OK","Se encuentra con jarro dentro de la cámara. Este  elemento no está permitido para su lavado ",""
"3","2025-12-31 09:11:10","Luis","Electrocardiógrafo","Edan","SE-301","360625-M22512450005","URGENCIA","OK | OK | OK | OK | NA | NA | OK | OK | OK | NA | OK | OK | NO | NO | OK | NA | NA | NA | NA | NA"," Electrocardiograma se encuentra. Ya 2 días sin papel. Urgencia adulto ",""
"4","2026-01-02 09:59:53","Martin","Monitor de signos vitales básico","NIHON KOHDEN","SVM-7160K-T3","106416","AISLAMIENTO","OK | OK | NO | OK | OK | NA | OK | OK | OK | OK | OK | OK | OK | OK | NA | OK | NA | NA | NA | NA","Equipos desconectados ",""
"5","2026-01-02 10:05:02","Martin","Carro de paro completo ADULTO","MALVESTIO / NIHON KOHDEN","329501 / TEC-5631","6722","CIRUGIA-MENOR","OK | NA | NO | OK | NA | NA | OK | OK | OK | NA | NO | OK | OK | OK | NA | NO | NA | NA | OK | NA","No se realiza chekeo desde el 28 del 12 y está desconectado de la alimentación ",""
"6","2026-01-02 10:09:47","Martin","Ecografo Ginecoobstétrico baja complejidad","GENERAL ELECTRIC","VERSANA PREMIER","6152566WX0","GINECOLOGIA-Y-OBSTETRICIA","OK | OK | OK | OK | OK | OK | OK | OK | OK | NA | OK | OK | NO | OK | NA | OK | NA | NA | NA | NA","Está con gel en transductor ",""
"7","2026-01-02 10:15:42","Martin","Carro de paro completo ADULTO","MALVESTIO / NIHON KOHDEN","329501 / TEC-5631","6753","ATENCION-OBSTETRICA","OK | OK | OK | NA | NA | NA | OK | OK | OK | NA | OK | OK | OK | OK | NA | NO | NA | NA | NA | NA","No se realiza chequeo del 31 de diciembre del 2025",""
"8","2026-01-02 10:21:47","Martin","Lavadora de chatas","Tuttnauer","REVO PRO","L22273613","MEDICO-QUIRURGICA-ADULTO","OK | NA | OK | OK | OK | NA | NA | OK | OK | OK | NA | NA | OK | NO | NA | NA | NA | NA | NA | NA","Mal puesta la chata ",""
"9","2026-01-02 10:56:55","Patricio","DEA","Nihon Kohden","AED-3100","28254","GES","OK | NA | NA | NA | NA | NA | OK | OK | OK | NA | OK | OK | OK | NA | NA | NA | OK | NA | NA | NA","Se cambia parches de equipo",""
"10","2026-01-02 10:58:00","Jorge","Carro de paro completo ADULTO","MALVESTIO / NIHON KOHDEN","329501 / TEC-5631","6763","UPC","OK | OK | OK | OK | NA | OK | OK | OK | OK | OK | OK | OK | OK | OK | OK | NO | NA | NA | NA | NA","Falta chekeo desde el 31 de diciembre ",""
"11","2026-01-02 14:36:53","Patricio","Silla de ruedas","CLINICON SPA","1693 - SILLA DE RUEDAS – AR CON PLETINA","SR001","URGENCIA","N/A | OK | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | OK | N/A | OK | N/A | N/A | N/A | N/A | N/A","Se retira silla de rueda y se reemplaza por una en buen estado",""
"12","2026-01-05 09:09:28","Luis","Amaceradora de chatas","Haigh","Qattro","2171","URGENCIA","OK | NA | OK | NA | OK | NA | OK | OK | OK | NA | NA | NA | NO | OK | OK | NO | NO | NO | NO | NO"," Equipo sucio. Hace meses.  Obs adulto ",""
